"Path","Lines","Modified","KB"
"supabase\migrations\001_bundles.sql","57","2026-04-27","2.1"
"supabase\migrations\003_store_commerce.sql","143","2026-04-29","6.7"
"supabase\migrations\004_skus_seed.sql","20","2026-04-29","1"
"supabase\migrations\005_preview_ledger.sql","35","2026-06-12","1.9"
"supabase\migrations\006_collection_pieces.sql","39","2026-07-02","2.3"
"supabase\migrations\007_craft_events.sql","45","2026-07-23","3.2"
"supabase\migrations\008_collection_label_seq.sql","33","2026-07-23","1.3"
"supabase\migrations\009_credits_and_codes.sql","120","2026-07-26","5.6"
"supabase\migrations\print_assets_bucket.sql","12","2026-05-13","0.5"
"tsconfig.json","35","2026-03-18","0.7"
"tsconfig.tsbuildinfo","1","2026-07-26","1420.4"
